origen_id,destino_id,tipo
n848,n835,contiene
n782,n767,referencia_cruzada
n785,n765,contiene
n1018,n995,referencia_cruzada
n219,n1052,referencia_cruzada
n961,n0,contiene
n18,n0,contiene
n17,n0,contiene
n864,n0,contiene
n795,n0,contiene
n785,n0,contiene
n762,n0,contiene
n752,n0,contiene
n745,n0,contiene
n626,n0,contiene
n734,n0,contiene
n581,n0,contiene
n17,n887,contiene
n1161,n1109,contiene
n1018,n1017,referencia_cruzada
n626,n624,contiene
n1214,n1153,referencia_cruzada
